frame,locType,mapId,worldX,worldY,localX,localY,scrolling,screenState,heldButtons
189,0,24,146,152,5,11,0,0,DOWN
190,0,24,146,152,5,11,0,0,DOWN
191,0,24,146,152,5,11,0,0,DOWN
192,0,24,146,152,5,11,0,0,DOWN
193,0,24,146,152,5,11,0,0,DOWN
194,0,24,146,152,5,11,0,0,DOWN
195,0,24,146,152,5,11,0,0,DOWN
196,0,24,146,152,5,11,0,0,DOWN
197,0,24,146,152,5,11,0,0,DOWN
198,0,24,146,152,5,11,0,0,DOWN
199,0,24,146,152,5,11,0,0,DOWN
